booking_id,customer_id,status,no_of_rooms,hotel_id,amount,discount,date_of_booking,check_in,check_out,discount_percent
61,156920,Cancelled,1,128,3379,858,2017-01-06,2017-01-07,2017-01-08,25
62,59454,Cancelled,1,128,12281,3117,2017-01-05,2017-01-05,2017-01-08,25
63,59454,Cancelled,1,128,8577,2177,2017-01-03,2017-01-06,2017-01-08,25
64,59454,Cancelled,1,128,4289,1089,2017-01-03,2017-01-05,2017-01-06,25
65,78645,Cancelled,1,402,2469,523,2017-01-26,2017-02-28,2017-03-01,21
66,6014,Stayed,1,402,1754,446,2017-01-23,2017-01-24,2017-01-25,25
67,70892,Stayed,1,250,2664,563,2017-01-21,2017-01-21,2017-01-22,21
68,92309,Cancelled,1,250,2079,0,2017-01-18,2017-01-18,2017-01-19,0
69,122584,Stayed,1,846,5717,1451,2017-01-07,2017-01-09,2017-01-11,25
70,130034,Cancelled,1,107,7797,1979,2017-01-25,2017-02-07,2017-02-09,25
71,138055,Stayed,1,107,3249,825,2017-01-18,2017-01-18,2017-01-19,25
72,79348,Stayed,1,107,2989,633,2017-01-16,2017-01-16,2017-01-17,21
73,3580,Stayed,1,583,4677,990,2017-01-16,2017-01-17,2017-01-19,21
74,140507,Cancelled,2,583,5327,1128,2017-01-13,2017-01-17,2017-01-18,21
75,66504,Stayed,1,583,6104,1291,2017-01-05,2017-01-06,2017-01-09,21
76,163261,Cancelled,1,583,2274,578,2017-01-05,2017-01-06,2017-01-07,25
77,26179,Stayed,1,245,2101,444,2017-01-31,2017-02-03,2017-02-04,21
78,36787,Stayed,1,245,2284,580,2017-01-21,2017-01-26,2017-01-27,25
79,83841,Stayed,1,245,4131,1048,2017-01-23,2017-01-25,2017-01-27,25
80,101925,Cancelled,1,245,12667,2680,2017-01-26,2017-01-28,2017-02-03,21
81,17746,Cancelled,1,245,6620,1400,2017-01-12,2017-01-26,2017-01-28,21
82,103003,Cancelled,1,245,2977,756,2017-01-06,2017-01-06,2017-01-07,25
83,68240,Stayed,1,245,2005,425,2017-01-02,2017-01-02,2017-01-03,21
84,69750,Stayed,1,56,3704,783,2017-01-18,2017-01-24,2017-01-25,21
85,69750,Cancelled,1,56,3314,701,2017-01-23,2017-01-24,2017-01-25,21
86,50628,Stayed,1,56,3704,941,2017-01-16,2017-01-19,2017-01-20,25
87,69750,Cancelled,1,56,3314,701,2017-01-18,2017-01-18,2017-01-19,21
88,13402,Stayed,1,382,6562,1665,2017-01-23,2017-01-24,2017-01-26,25
89,31960,Stayed,1,944,7180,1519,2017-01-30,2017-01-30,2017-02-02,21
90,35729,Cancelled,1,944,2023,428,2017-01-27,2017-01-27,2017-01-28,21
91,35729,Cancelled,1,944,2509,531,2017-01-27,2017-01-27,2017-01-28,21
92,117605,Stayed,2,944,3461,733,2017-01-17,2017-01-17,2017-01-18,21
93,119500,Stayed,1,944,1702,360,2017-01-15,2017-01-15,2017-01-16,21
94,62595,Cancelled,2,944,21212,5385,2017-01-13,2017-01-27,2017-01-30,25
95,66504,Cancelled,1,944,1745,370,2017-01-05,2017-01-05,2017-01-06,21
96,71800,Cancelled,1,86,1594,338,2017-01-31,2017-02-01,2017-02-02,21
97,77745,Cancelled,1,86,9859,2086,2017-01-11,2017-03-05,2017-03-08,21
98,77745,Cancelled,1,86,9859,2086,2017-01-11,2017-03-11,2017-03-14,21
99,107105,Stayed,1,86,4488,1140,2017-01-25,2017-01-26,2017-01-28,25
100,37423,Stayed,1,86,10587,2240,2017-01-09,2017-01-16,2017-01-20,21
101,37423,Stayed,1,86,2102,444,2017-01-18,2017-01-18,2017-01-19,21
102,128513,Stayed,1,86,2050,520,2017-01-18,2017-01-18,2017-01-19,25
103,190136,Cancelled,1,86,1606,340,2017-01-23,2017-01-25,2017-01-26,21
104,78626,Stayed,1,837,3444,728,2017-01-13,2017-01-13,2017-01-14,21
105,8873,Stayed,1,161,7371,1560,2017-01-20,2017-01-20,2017-01-25,21
106,83841,Cancelled,1,161,8964,1896,2017-01-23,2017-01-25,2017-01-30,21
107,57801,Stayed,1,161,1594,338,2017-01-20,2017-01-22,2017-01-23,21
108,57801,Cancelled,1,161,2088,460,2017-01-22,2017-01-23,2017-01-24,22
109,108129,Stayed,1,938,2469,523,2017-01-02,2017-01-02,2017-01-03,21
110,16015,Stayed,1,475,1457,370,2017-01-07,2017-01-07,2017-01-08,25
111,117378,Stayed,1,248,5717,1210,2017-01-10,2017-01-11,2017-01-13,21
112,32390,Stayed,1,760,13256,2916,2017-01-24,2017-01-27,2017-01-30,22
113,15775,Stayed,1,760,2209,468,2017-01-21,2017-01-21,2017-01-22,21
114,85555,Cancelled,1,597,22870,5031,2017-01-25,2017-02-11,2017-02-19,22
115,34633,"No Show",1,597,3205,678,2017-01-19,2017-01-21,2017-01-22,21
116,35354,Stayed,1,597,2796,592,2017-01-18,2017-01-19,2017-01-20,21
117,35354,Stayed,1,597,10270,2173,2017-01-14,2017-01-15,2017-01-19,21
118,119500,Stayed,1,597,2555,540,2017-01-16,2017-01-16,2017-01-17,21
119,137573,Cancelled,1,597,2664,563,2017-01-07,2017-01-19,2017-01-20,21
120,137573,Cancelled,1,597,2729,693,2017-01-06,2017-01-06,2017-01-07,25
121,13793,Stayed,1,154,2339,495,2017-01-30,2017-01-30,2017-01-31,21
122,38109,Cancelled,1,154,1212,308,2017-01-24,2017-01-24,2017-01-25,25
123,106210,Stayed,1,154,1884,398,2017-01-19,2017-01-19,2017-01-20,21
124,106210,Cancelled,1,154,2534,558,2017-01-09,2017-01-19,2017-01-20,22
125,195339,"No Show",1,84,1819,385,2017-01-30,2017-02-03,2017-02-04,21
126,91702,Stayed,1,84,2794,591,2017-01-25,2017-01-26,2017-01-27,21
127,46373,"No Show",1,84,2729,578,2017-01-21,2017-01-25,2017-01-26,21
128,47963,Stayed,1,84,2209,468,2017-01-19,2017-01-19,2017-01-20,21
129,35610,Stayed,1,84,2079,440,2017-01-17,2017-01-17,2017-01-18,21
130,191775,Stayed,1,84,2079,440,2017-01-12,2017-01-16,2017-01-17,21
131,47942,Stayed,1,84,1689,372,2017-01-16,2017-01-16,2017-01-17,22
132,47942,Stayed,1,84,1819,462,2017-01-05,2017-01-15,2017-01-16,25
133,115548,"No Show",1,84,5456,0,2017-01-05,2017-01-06,2017-01-09,0
134,49619,Stayed,1,894,6627,1682,2017-01-05,2017-01-27,2017-01-29,25
135,12023,Stayed,1,894,2794,710,2017-01-04,2017-01-07,2017-01-08,25
136,49619,Cancelled,1,894,5847,1238,2017-01-05,2017-01-27,2017-01-29,21
137,72648,Stayed,1,612,1949,413,2017-01-29,2017-01-31,2017-02-01,21
138,67726,Stayed,1,612,2339,495,2017-01-10,2017-01-12,2017-01-13,21
139,33288,Stayed,1,612,2599,660,2017-01-09,2017-01-11,2017-01-12,25
140,197674,Stayed,1,251,2469,523,2017-01-25,2017-01-26,2017-01-27,21
141,197674,Cancelled,1,251,2794,591,2017-01-24,2017-01-26,2017-01-27,21
142,92482,Stayed,1,251,2404,508,2017-01-23,2017-01-23,2017-01-24,21
143,133399,Stayed,1,975,9292,2044,2017-01-24,2017-01-25,2017-01-29,22
144,65660,Stayed,1,975,1689,372,2017-01-24,2017-01-25,2017-01-26,22
145,133399,Stayed,1,975,10719,2358,2017-01-17,2017-01-20,2017-01-25,22
146,65660,Stayed,1,975,7145,1572,2017-01-16,2017-01-17,2017-01-21,22
147,133399,Stayed,1,975,2100,462,2017-01-09,2017-01-18,2017-01-19,22
148,71338,Stayed,1,83,2404,508,2017-01-22,2017-01-22,2017-01-23,21
149,112913,Stayed,1,409,26255,5554,2017-01-01,2017-01-29,2017-02-02,21
150,82881,Stayed,1,106,6627,1403,2017-01-13,2017-02-13,2017-02-15,21
151,77179,Stayed,1,106,2469,523,2017-01-13,2017-01-13,2017-01-14,21
152,77179,Stayed,1,106,9027,2291,2017-01-08,2017-01-09,2017-01-13,25
153,77179,Stayed,1,106,11887,2515,2017-01-01,2017-01-02,2017-01-06,21
154,155955,Cancelled,1,874,1884,479,2017-01-22,2017-01-22,2017-01-23,25
155,76850,Stayed,1,874,1104,281,2017-01-09,2017-01-09,2017-01-10,25
156,42304,Cancelled,1,244,7406,1566,2017-01-24,2017-01-26,2017-01-29,21
157,109973,Cancelled,1,244,2209,561,2017-01-21,2017-01-22,2017-01-23,25
158,49442,Cancelled,1,244,2079,528,2017-01-04,2017-01-05,2017-01-06,25
159,79360,Stayed,1,244,2209,561,2017-01-03,2017-01-03,2017-01-04,25
160,197635,Stayed,1,408,3897,857,2017-01-22,2017-01-23,2017-01-25,22
161,95113,Stayed,1,408,6626,1682,2017-01-05,2017-01-06,2017-01-09,25
162,11342,Stayed,1,554,5067,1073,2017-01-26,2017-01-26,2017-01-28,21
163,11342,Cancelled,1,554,7925,1676,2017-01-24,2017-01-26,2017-01-29,21
164,163441,Stayed,1,554,2209,468,2017-01-17,2017-01-19,2017-01-20,21
165,6989,Stayed,1,554,2209,468,2017-01-15,2017-01-15,2017-01-16,21
166,195788,"No Show",1,554,2014,512,2017-01-07,2017-01-08,2017-01-09,25
167,26072,Stayed,1,353,3897,857,2017-01-23,2017-01-23,2017-01-25,22
168,109973,Stayed,1,353,2534,536,2017-01-21,2017-01-21,2017-01-22,21
169,192648,Cancelled,1,757,3336,706,2017-01-29,2017-01-30,2017-01-31,21
170,9197,Cancelled,1,757,3137,796,2017-01-01,2017-01-14,2017-01-15,25
171,9197,Cancelled,1,757,3137,663,2017-01-01,2017-01-16,2017-01-17,21
172,97775,Stayed,1,757,3101,788,2017-01-06,2017-01-07,2017-01-08,25
173,43374,Stayed,2,757,6201,1574,2017-01-05,2017-01-06,2017-01-07,25
174,97775,Cancelled,1,757,3000,761,2017-01-06,2017-01-08,2017-01-09,25
175,137492,Stayed,1,820,2079,440,2017-01-31,2017-01-31,2017-02-01,21
176,137492,Stayed,1,820,2339,495,2017-01-24,2017-01-24,2017-01-25,21
177,137492,Stayed,1,820,2339,495,2017-01-17,2017-01-17,2017-01-18,21
178,67129,Stayed,1,691,7618,1612,2017-01-27,2017-03-08,2017-03-12,21
179,140961,Stayed,1,691,2391,607,2017-01-31,2017-01-31,2017-02-01,25
180,100962,Cancelled,1,691,2094,443,2017-01-31,2017-02-02,2017-02-03,21
181,8240,Stayed,1,691,28882,6109,2017-01-30,2017-01-31,2017-02-13,21
182,140961,Cancelled,1,691,2391,506,2017-01-31,2017-01-31,2017-02-01,21
183,137438,Cancelled,2,691,6698,1474,2017-01-30,2017-01-30,2017-02-01,22
184,87218,Cancelled,12,691,83538,18379,2017-01-18,2017-01-21,2017-01-24,22
185,53022,"No Show",1,691,1856,0,2017-01-11,2017-01-11,2017-01-12,0
186,137492,Stayed,1,691,1563,331,2017-01-06,2017-01-06,2017-01-07,21
187,33193,Stayed,1,691,2648,672,2017-01-05,2017-01-05,2017-01-06,25
188,171363,Stayed,1,691,1859,472,2017-01-08,2017-01-09,2017-01-10,25
189,85876,Stayed,1,280,25644,5425,2017-01-09,2017-01-14,2017-01-28,21
190,154952,Stayed,1,280,1832,387,2017-01-06,2017-01-27,2017-01-28,21
191,154952,Cancelled,1,280,1832,387,2017-01-06,2017-01-28,2017-01-29,21
192,154952,Stayed,1,280,1832,387,2017-01-03,2017-01-26,2017-01-27,21
193,189029,Cancelled,1,978,29049,6145,2017-01-29,2017-01-30,2017-02-04,21
194,197267,Stayed,1,633,3964,0,2017-01-21,2017-01-22,2017-01-23,0
195,100627,Cancelled,1,633,4289,1089,2017-01-05,2017-01-08,2017-01-09,25
196,100627,Cancelled,1,888,3379,858,2017-01-05,2017-01-08,2017-01-09,25
197,139720,Cancelled,1,888,5912,1300,2017-01-20,2017-01-20,2017-01-22,22
198,139720,Cancelled,1,888,6627,1458,2017-01-15,2017-01-20,2017-01-22,22
199,150865,Cancelled,1,699,4484,1898,2017-01-21,2017-01-22,2017-01-23,42
200,166969,Cancelled,1,699,4029,853,2017-01-18,2017-01-20,2017-01-21,21
201,29563,Stayed,1,627,6776,1433,2017-01-25,2017-02-27,2017-03-03,21
202,21667,Stayed,1,627,3224,846,2017-01-09,2017-01-10,2017-01-12,26
203,54558,Stayed,1,219,1689,358,2017-01-30,2017-01-31,2017-02-01,21
204,119500,Cancelled,1,219,2209,561,2017-01-04,2017-01-04,2017-01-05,25
205,160575,Cancelled,1,637,2339,594,2017-01-05,2017-01-07,2017-01-08,25
206,137492,Stayed,1,635,1949,413,2017-01-19,2017-01-19,2017-01-20,21
207,137492,Stayed,1,635,1754,446,2017-01-09,2017-01-09,2017-01-10,25
208,177755,Stayed,1,635,2209,468,2017-01-27,2017-01-27,2017-01-28,21
209,137492,Cancelled,1,635,2209,468,2017-01-21,2017-01-21,2017-01-22,21
210,137492,Stayed,1,635,1754,371,2017-01-11,2017-01-11,2017-01-12,21
211,137078,Cancelled,1,359,4742,1043,2017-01-25,2017-01-31,2017-02-02,22
212,14687,Stayed,1,359,1819,385,2017-01-19,2017-01-19,2017-01-20,21
213,61768,Stayed,1,842,2205,485,2017-01-28,2017-01-28,2017-01-29,22
214,61768,Cancelled,1,842,2014,443,2017-01-28,2017-01-28,2017-01-29,22
215,181249,Stayed,1,220,1429,303,2017-01-25,2017-01-25,2017-01-26,21
216,139865,Cancelled,1,299,2664,563,2017-01-30,2017-01-31,2017-02-01,21
217,119565,Stayed,1,299,3444,728,2017-01-28,2017-01-28,2017-01-29,21
218,29684,Stayed,1,299,3769,798,2017-01-28,2017-01-28,2017-01-29,21
219,6513,Stayed,1,299,2924,618,2017-01-27,2017-01-27,2017-01-28,21
220,29684,Cancelled,1,299,4484,948,2017-01-25,2017-01-28,2017-01-29,21
221,29684,Cancelled,1,299,5134,1086,2017-01-24,2017-01-28,2017-01-29,21
222,183919,Stayed,1,299,2664,586,2017-01-31,2017-01-31,2017-02-01,22
223,162144,Stayed,1,299,6497,1429,2017-01-14,2017-01-15,2017-01-17,22
224,188854,Cancelled,1,299,3249,688,2017-01-16,2017-01-17,2017-01-18,21
225,72807,Stayed,1,299,2924,743,2017-01-16,2017-01-16,2017-01-17,25
226,121464,Stayed,1,299,3509,743,2017-01-14,2017-01-14,2017-01-15,21
227,72807,Cancelled,1,299,3249,825,2017-01-15,2017-01-15,2017-01-16,25
228,78264,Cancelled,1,299,3509,772,2017-01-11,2017-01-14,2017-01-15,22
229,188854,Cancelled,1,299,2924,618,2017-01-12,2017-01-12,2017-01-13,21
230,119565,Stayed,1,299,3054,776,2017-01-19,2017-01-20,2017-01-21,25
231,143969,Stayed,1,299,5977,1265,2017-01-16,2017-01-16,2017-01-18,21
232,119466,Cancelled,1,299,3639,924,2017-01-03,2017-01-04,2017-01-05,25
233,94377,Stayed,1,315,3576,787,2017-01-30,2017-01-30,2017-01-31,22
234,112615,Stayed,1,315,2426,514,2017-01-30,2017-01-30,2017-01-31,21
235,112615,Stayed,1,315,3110,658,2017-01-30,2017-01-30,2017-01-31,21
236,112615,Cancelled,2,315,6219,1316,2017-01-30,2017-01-30,2017-01-31,21
237,133250,Stayed,1,315,3054,646,2017-01-23,2017-01-24,2017-01-25,21
238,69769,Stayed,1,315,3119,660,2017-01-15,2017-01-18,2017-01-19,21
239,188854,Stayed,1,315,3509,743,2017-01-11,2017-01-11,2017-01-12,21
240,159675,"No Show",2,315,6237,1583,2017-01-10,2017-01-10,2017-01-11,25
241,188854,Stayed,1,315,3639,924,2017-01-07,2017-01-09,2017-01-10,25
242,133250,Stayed,1,315,3639,924,2017-01-08,2017-01-08,2017-01-09,25
243,188854,Cancelled,1,315,3054,646,2017-01-17,2017-01-17,2017-01-18,21
244,188854,Stayed,1,315,3704,941,2017-01-02,2017-01-03,2017-01-04,25
245,21016,Stayed,1,309,2599,550,2017-01-20,2017-01-21,2017-01-22,21
246,119466,Cancelled,1,309,2599,660,2017-01-09,2017-01-11,2017-01-12,25
247,194263,Stayed,1,557,2079,440,2017-01-23,2017-01-23,2017-01-24,21
248,162144,Cancelled,1,557,2989,633,2017-01-16,2017-01-16,2017-01-17,21
249,189124,Stayed,1,557,2989,759,2017-01-05,2017-01-05,2017-01-06,25
250,7701,Stayed,1,557,3574,756,2017-01-10,2017-01-11,2017-01-12,21
251,152290,Stayed,1,557,2664,677,2017-01-10,2017-01-10,2017-01-11,25
252,18979,Cancelled,1,132,4679,990,2017-01-20,2017-01-28,2017-01-29,21
253,34712,Stayed,1,132,3899,825,2017-01-25,2017-01-25,2017-01-26,21
254,19531,Cancelled,1,132,10787,2738,2017-01-25,2017-01-26,2017-01-28,25
255,107631,Stayed,1,132,3509,921,2017-01-07,2017-01-08,2017-01-09,26
256,163562,Stayed,1,883,3588,759,2017-01-22,2017-01-26,2017-01-27,21
257,73708,Stayed,1,883,3588,759,2017-01-22,2017-01-24,2017-01-25,21
258,40182,Stayed,1,883,3588,759,2017-01-24,2017-01-24,2017-01-25,21
259,85715,Cancelled,1,883,4399,931,2017-01-21,2017-01-21,2017-01-22,21
260,172006,Stayed,1,883,3752,794,2017-01-14,2017-01-14,2017-01-15,21
261,159422,Stayed,1,883,2102,534,2017-01-10,2017-01-10,2017-01-11,25
262,128921,Cancelled,1,883,1620,425,2017-01-10,2017-01-10,2017-01-11,26
263,134918,Stayed,1,883,2253,476,2017-01-19,2017-01-19,2017-01-20,21
264,29885,Stayed,1,565,4354,921,2017-01-17,2017-01-17,2017-01-18,21
265,24613,Stayed,1,31,4159,880,2017-01-19,2017-01-19,2017-01-20,21
266,64956,Stayed,1,31,3899,825,2017-01-16,2017-01-18,2017-01-19,21
267,182461,Cancelled,1,31,9747,2474,2017-01-12,2017-01-16,2017-01-18,25
268,2162,Stayed,1,31,4159,1056,2017-01-10,2017-01-10,2017-01-11,25
269,33978,Stayed,1,884,4874,1073,2017-01-13,2017-01-15,2017-01-16,22
270,7412,Cancelled,1,884,4744,1003,2017-01-07,2017-01-20,2017-01-21,21
271,60319,"No Show",1,265,3899,990,2017-01-20,2017-01-21,2017-01-22,25
272,12255,Cancelled,1,473,7601,1608,2017-01-31,2017-02-23,2017-02-26,21
273,3585,Cancelled,1,473,2729,578,2017-01-25,2017-01-27,2017-01-28,21
274,182493,"No Show",1,473,2469,523,2017-01-25,2017-01-26,2017-01-27,21
275,100201,Cancelled,1,473,2014,426,2017-01-26,2017-01-26,2017-01-27,21
276,160469,Cancelled,1,473,2014,853,2017-01-25,2017-01-25,2017-01-26,42
277,8760,Stayed,1,473,2469,523,2017-01-19,2017-01-21,2017-01-22,21
278,82622,Stayed,1,473,2729,693,2017-01-17,2017-01-17,2017-01-18,25
279,85562,Stayed,1,473,2664,563,2017-01-14,2017-01-14,2017-01-15,21
280,5049,Stayed,1,473,2469,627,2017-01-06,2017-01-08,2017-01-09,25
281,165056,Stayed,1,473,2469,648,2017-01-04,2017-01-05,2017-01-06,26
282,75870,Stayed,1,473,2144,545,2017-01-04,2017-01-04,2017-01-05,25
283,184360,Cancelled,1,473,2989,759,2017-01-01,2017-01-02,2017-01-03,25
284,62184,Cancelled,1,473,2469,627,2017-01-05,2017-01-07,2017-01-08,25
285,19017,Stayed,1,397,4289,908,2017-01-25,2017-01-25,2017-01-26,21
286,15445,Cancelled,1,397,4744,1003,2017-01-16,2017-01-18,2017-01-19,21
287,15445,Cancelled,1,397,4744,1003,2017-01-15,2017-01-18,2017-01-19,21
288,19017,Stayed,1,397,3379,858,2017-01-10,2017-01-10,2017-01-11,25
289,19017,"No Show",1,397,5069,1287,2017-01-06,2017-01-08,2017-01-09,25
290,19017,Cancelled,1,397,5069,1287,2017-01-04,2017-01-06,2017-01-07,25
291,14120,Stayed,1,170,2274,481,2017-01-28,2017-01-28,2017-01-29,21
292,143338,Stayed,1,170,2079,440,2017-01-20,2017-01-20,2017-01-21,21
293,143338,Stayed,1,170,2209,468,2017-01-18,2017-01-19,2017-01-20,21
294,143338,Stayed,1,170,2209,468,2017-01-18,2017-01-18,2017-01-19,21
295,143338,Stayed,1,170,2014,426,2017-01-17,2017-01-17,2017-01-18,21
296,143338,Stayed,1,170,2404,508,2017-01-13,2017-01-13,2017-01-14,21
297,143338,Stayed,1,170,1949,413,2017-01-11,2017-01-11,2017-01-12,21
298,143338,Stayed,1,170,2014,512,2017-01-04,2017-01-04,2017-01-05,25
299,143338,Stayed,1,170,2209,561,2017-01-03,2017-01-03,2017-01-04,25
300,48615,Stayed,1,73,3314,701,2017-01-25,2017-02-04,2017-02-05,21
301,34654,Stayed,1,73,2209,468,2017-01-13,2017-01-16,2017-01-17,21
302,34654,Stayed,1,73,2209,468,2017-01-14,2017-01-15,2017-01-16,21
303,53976,Stayed,1,73,2209,468,2017-01-13,2017-01-14,2017-01-15,21
304,189707,Stayed,1,73,5717,1210,2017-01-13,2017-01-13,2017-01-15,21
305,189707,Cancelled,1,73,5717,1210,2017-01-12,2017-01-13,2017-01-15,21
306,56630,Cancelled,1,229,9357,1980,2017-01-19,2017-02-10,2017-02-12,21
307,158276,Stayed,1,229,4549,963,2017-01-26,2017-01-27,2017-01-28,21
308,112633,Cancelled,1,229,3379,858,2017-01-06,2017-01-07,2017-01-08,25
309,27204,Stayed,1,570,2924,767,2017-01-07,2017-01-09,2017-01-10,26
310,27204,Stayed,1,570,2794,733,2017-01-07,2017-01-08,2017-01-09,26
311,27204,Cancelled,1,570,9227,2420,2017-01-03,2017-01-08,2017-01-10,26
312,88939,Stayed,1,570,3769,798,2017-01-02,2017-01-02,2017-01-03,21
313,88939,Stayed,1,570,3119,792,2017-01-03,2017-01-04,2017-01-05,25
314,88939,Stayed,1,570,3509,891,2017-01-02,2017-01-03,2017-01-04,25
315,114763,Cancelled,1,427,4614,1172,2017-01-30,2017-01-30,2017-01-31,25
316,83896,Stayed,1,428,5849,1238,2017-01-23,2017-01-25,2017-01-26,21
317,68866,Cancelled,1,99,6824,1733,2017-01-27,2017-03-03,2017-03-04,25
318,186429,Cancelled,1,99,3964,838,2017-01-30,2017-01-30,2017-01-31,21
319,9198,Stayed,1,901,4354,1106,2017-01-06,2017-01-06,2017-01-07,25
320,123932,Stayed,1,142,3899,825,2017-01-18,2017-01-18,2017-01-19,21
321,15767,Stayed,1,357,3574,756,2017-01-10,2017-01-14,2017-01-15,21
322,7971,Cancelled,1,357,3574,756,2017-01-27,2017-01-27,2017-01-28,21
323,13209,Cancelled,1,817,4939,1045,2017-01-23,2017-01-24,2017-01-25,21
324,172055,Stayed,1,439,3964,838,2017-01-28,2017-01-28,2017-01-29,21
325,7971,Stayed,1,439,3314,701,2017-01-27,2017-01-27,2017-01-28,21
